00 03 3F A0 9C,GM --> DIA: Diagnostic command acknowledged
00 03 3F A2 9E,GM --> DIA: Diagnostic command rejected
00 04 3F A0 02 99,GM --> DIA: Diagnostic command acknowledged, Data="02"    [ ]
00 04 BF 02 00 B9,GM --> GLO: Device status ready
00 04 BF 02 01 B8,GM --> GLO: Device status ready, after Reset
00 04 BF 72 00 C9,GM --> GLO: ChkCtrl Remote Central Locking, No_Button_Pressed
00 04 BF 72 02 CB,GM --> GLO: ChkCtrl Remote Central Locking, No_Button_Pressed
00 04 BF 72 06 CF,GM --> GLO: ChkCtrl Remote Central Locking, No_Button_Pressed
00 04 BF 72 10 D9,GM --> GLO: ChkCtrl Remote Central Locking, Lock_Pressed
00 04 BF 72 12 DB,GM --> GLO: ChkCtrl Remote Central Locking, Lock_Pressed
00 04 BF 72 16 DF,GM --> GLO: ChkCtrl Remote Central Locking, Lock_Pressed
00 04 BF 72 20 E9,GM --> GLO: ChkCtrl Remote Central Locking, Unlock_Pressed
00 04 BF 72 22 EB,GM --> GLO: ChkCtrl Remote Central Locking, Unlock_Pressed
00 04 BF 72 26 EF,GM --> GLO: ChkCtrl Remote Central Locking, Unlock_Pressed
00 04 BF 72 42 8B,GM --> GLO: ChkCtrl Remote Central Locking, Boot_Pressed
00 04 BF 76 00 CD,GM --> GLO: Crash Alarm, No_Crash
00 04 BF 76 02 CF,GM --> GLO: Crash Alarm, DB1=0x02
00 04 BF 78 00 C3,GM --> GLO: Seat Memory, Data="00"
00 04 BF 78 01 C2,GM --> GLO: Seat Memory, Data="01"
00 04 BF 78 02 C1,GM --> GLO: Seat Memory, Data="02"
00 04 BF 78 04 C7,GM --> GLO: Seat Memory, Data="04"
00 04 BF 78 0A C9,GM --> GLO: Seat Memory, Data="0A"
00 04 E8 77 0C 97,GM --> RLS: Wiper status, Data="0C"
00 04 E8 77 0D 96,GM --> RLS: Wiper status, Data="0D"
00 04 E8 77 0E 95,GM --> RLS: Wiper status, Data="0E"
00 05 08 7D 00 00 70,GM --> SHD: Sunroof control, Lock
00 05 08 7D 00 10 60,GM --> SHD: Sunroof control, Unlock DB2=0x10
00 05 08 7D 00 30 40,GM --> SHD: Sunroof control, Unlock DB2=0x30
00 05 08 7D 00 50 20,GM --> SHD: Sunroof control, Unlock DB2=0x50
00 05 08 7D 00 70 00,GM --> SHD: Sunroof control, Unlock DB2=0x70
00 05 BF 7A 10 00 D0,GM --> GLO: door/flap status, Open:  Ctrl_Locking: Unlocked
00 05 BF 7A 10 01 D1,GM --> GLO: door/flap status, Open: WndwDvr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 02 D2,GM --> GLO: door/flap status, Open: WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 03 D3,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 05 D5,GM --> GLO: door/flap status, Open: WndwDvr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 06 D6,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 08 D8,GM --> GLO: door/flap status, Open: WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 08 D8,GM --> GLO: door/flap status, Open: WndwPgrRr Ctrl_Locking: Unlocked
00 05 BF 7A 10 0A DA,GM --> GLO: door/flap status, Open: WndwPgr WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 0B DB,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 0E DE,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 0F DF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 10 13 C3,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 10 1A CA,GM --> GLO: door/flap status, Open: WndwPgr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 10 1E CE,GM --> GLO: door/flap status, Open: WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 10 1F CF,GM --> GLO: door/flap status, Open: WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 10 20 F0,GM --> GLO: door/flap status, Open: Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 11 00 D1,GM --> GLO: door/flap status, Open: DvrDoorFr   Ctrl_Locking: Unlocked
00 05 BF 7A 11 03 D2,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr   Ctrl_Locking: Unlocked
00 05 BF 7A 11 05 D4,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwDvrRr   Ctrl_Locking: Unlocked
00 05 BF 7A 11 08 D9,GM --> GLO: door/flap status, Open: DvrDoorFr WndwPgrRr Ctrl_Locking: Unlocked
00 05 BF 7A 11 10 C1,GM --> GLO: door/flap status, Open: DvrDoorFr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 11 1F CE,GM --> GLO: door/flap status, Open: DvrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 11 20 F1,GM --> GLO: door/flap status, Open: DvrDoorFr Boot   Ctrl_Locking: Unlocked
00 05 BF 7A 12 00 D2,GM --> GLO: door/flap status, Open: PgrDoorFr   Ctrl_Locking: Unlocked
00 05 BF 7A 12 1F CD,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof   Ctrl_Locking: Unlocked
00 05 BF 7A 12 3F ED,GM --> GLO: door/flap status, Open: PgrDoorFr WndwDvr WndwPgr WndwDvrRr WndwPgrRr Sunroof Boot   Ctrl_Locking: Unlocked
